અયોધાતુ,અ-યોધા-તુ
કેશરંધ્ર,કેશરંધ્ર
સુષુપ્તિ,સુષુપ્તિ
લલકવું,લલક-વું
અન્યસાપેક્ષ,અન્-ય-સા-પેક્-ષ
ખાપડું,ખા-પ-ડું
માતૃમૂલ,મા-તૃમૂ-લ
તેં,તેં
હવું,હ-વું
નેત્રસમસ્યા,ને-ત્-રસ-મસ્-યા
કિચૂડ,કિચૂડ
બોલાવવું,બો-લાવ-વું
નિર્વાણી,નિર્-વા-ણી
પસાય,પ-સા-ય
ખૂતવું,ખૂ-ત-વું
રિટ,રિટ
અલ્પોપાય,અલ્પોપાય
યશસ્વિની,યશસ્વિની
જીપ,જીપ
નેવલે,ને-વ-લે
અતેજ,અતેજ
સરપ્રાઇઝ,સરપ્રાઇઝ
રામાંટામાં,રામાંટામાં
બિનપગારી,બિન-પ-ગા-રી
જીજીબહેન,જી-જીબ-હેન
વૃત્તિચ્છેદ,વૃત્-તિચ્-છેદ
પ્રતિઘોર,પ્ર-તિ-ઘોર
ગડદાગડદી,ગડ-દા-ગડદી
સંઘાતક,સંઘાતક
મેળવાવું,મે-ળ-વા-વું
અસંતાન,અ-સં-તાન
ઠંઠોરાવું,ઠં-ઠોરા-વું
અભયાવ્રત,અ-ભ-યાવ્રત
જગધો,જ-ગધો
કિલન્નતા,કિ-લન્-ન-તા
પુલ,પુલ
ખીરોદક,ખીરોદક
છછઈ,છછઈ
તેરીમેરી,તેરીમેરી
ગોવાળબકરી,ગો-વાળબક-રી
રીંગું,રીંગું
આલમેલ,આલમેલ
અંગૂઠડી,અં-ગૂઠ-ડી
લેપડુ,લેપડુ
સ્વયમેવ,સ્વ-યમે-વ
જયીપણું,જ-યીપ-ણું
અટ્ઠયાવીશ,અટ્ઠયાવીશ
પાંચપટો,પાંચ-પટો
ફાળી,ફાળી
આનંદપ્રચુર,આ-નંદપ્ર-ચુર
અહંભાવી,અહંભાવી
રટન,રટન
બોડાવવું,બો-ડાવ-વું
સંશ્રય,સં-શ્ર-ય
કામવાળું,કામ-વા-ળું
મૂદઈ,મૂદઈ
રંગીની,રં-ગીની
અતિ,અ-તિ
ફાસ્ટ,ફાસ્ટ
પાંડુરોગી,પાં-ડુરો-ગી
લોંઠિયું,લોંઠિયું
અલામત,અલામત
વલદદાણિયાં,વ-લદદાણિયાં
રસોન્માદ,ર-સોન્-માદ
અતિયોગ,અ-તિ-યોગ
ઐલવિલ,ઐ-લવિ-લ
જાદવી,જાદ-વી
સિંધાલૂણ,સિંધાલૂણ
લૂઈ,લૂઈ
સીનાદાર,સીના-દાર
ફૂસ,ફૂ-સ
અગવાડું,અ-ગ-વાડું
ઢોરલાંઘણ,ઢોરલાં-ઘણ
સૈન્યસત્તાક,સૈ-ન્-ય-સત્-તાક
દશશેરો,દ-શશે-રો
નાણાશાસ્ત્ર,ના-ણાશાસ્-ત્-ર
ચાળાચંદૈયાં,ચાળાચંદૈયાં
મન્વંતર,મન્વં-તર
ગ્રિલ,ગ્રિલ
આંતરજાતીય,આં-તર-જા-તી-ય
જાદુગીરી,જા-દુગી-રી
ચટ્ટાં,ચટ્ટાં
વચકલું,વ-ચકલું
અષ્ટગુણ,અ-ષ્-ટ-ગુણ
પવિત્રાઈ,પ-વિત્રા-ઈ
રિશ્તેદાર,રિ-શ્તેદાર
એનચોમાસું,એનચો-મા-સું
ફાંટ,ફાંટ
પાનદાની,પાનદા-ની
અનિશ્ચય,અ-નિશ્-ચ-ય
કાલકૂટ,કાલકૂટ
સંહિતા,સંહિતા
અદાયાદ,અ-દાયાદ
સબ્લાઇમ,સબ્લાઇમ
તત્ત્વદૃષ્ટિ,તત્ત્-વ-દૃ-ષ્-ટિ
ઠાંગું,ઠાંગું
સ્ત્રીકેસર,સ્-ત્રી-કેસર
પૂર્વાનુમાન,પૂર્-વા-નુ-માન
મપાવું,મ-પા-વું
આકાશમંડળ,આ-કાશમંડળ
ગાંધીજી,ગાંધીજી
ખંજર,ખં-જર
સુરસ,સુરસ
વિકલા,વિક-લા
અર્થસંક્રમણ,અર્-થસંક્-રમણ
ખણખોજ,ખણ-ખોજ
ઉશ્વાસ,ઉશ્-વાસ
અરચા,અ-ર-ચા
જૈવઆંકડાશાસ્ત્ર,જૈ-વ-આં-ક-ડા-શાસ્-ત્-ર
ડોલાવવું,ડો-લાવ-વું
અટંક,અ-ટં-ક
ખમીરો,ખ-મીરો
પંચકલ્યાણી,પંચકલ્-યા-ણી
યત્રતત્ર,યત્-રતત્-ર
અતિસંધ્યા,અ-તિસં-ધ્યા
આત્મવિકત્થન,આત્-મવિક-ત્થન
સ્વાયત્ત,સ્વાયત્-ત
વ્યાજું,વ્યાજું
પકવાસું,પક-વાસું
ફેનિલ,ફેનિલ
કડછું,કડછું
કૅપ્ટન,કૅપ્ટન
ચિત્રકલા,ચિત્-રક-લા
ઝાટકો,ઝા-ટ-કો
સંભ્રાંત,સંભ્રાંત
વિપર્યય,વિ-પર્-ય-ય
ઘટકઘટક,ઘટકઘટક
અનૈકાંતિકવાદી,અનૈકાંતિક-વા-દી
ભક્ત,ભક્ત
કાનોમાત્રા,કાનોમાત્રા
આણંદકંકણ,આણંદકંકણ
અભિધાનવાદ,અ-ભિ-ધાન-વાદ
લચપચાવવું,લ-ચ-પ-ચાવ-વું
પરિરંભણ,પ-રિ-રં-ભણ
પોસ્ટમૉર્ટમ,પોસ્ટમૉર્ટ-મ
વિખવાણ,વિખ-વાણ
અન્યાય્ય,અન્યાય્ય
ઠમકાર,ઠમ-કાર
અનુકંપન,અ-નુકંપન
પેજખાતું,પે-જખા-તું
ધોકણાટવું,ધોક-ણાટ-વું
અઠેઠે,અઠેઠે
હાર્મની,હાર્-મ-ની
શિકારુ,શિ-કારુ
ઉંબરું,ઉં-બરું
ઉદકમેહ,ઉદક-મેહ
કુખ,કુખ
ટાઢુંપેટ,ટા-ઢુંપેટ
અલહેતુ,અ-લ-હે-તુ
ઠમઠમાવું,ઠમઠમા-વું
જલધિ,જલધિ
બ્રહ્મકર્મ,બ્રહ્મકર્-મ
ટેપરેકર્ડર,ટેપ-રેકર્ડર
જોસ્સો,જો-સ્-સો
દુણાટ,દુ-ણાટ
કટિમેખળા,કટિમેખળા
અક્કર્મી,અક્કર્મી
આશંસા,આશંસા
સમંજસ,સમં-જસ
વિપિનવિહારી,વિપિનવિ-હા-રી
આખૂદંજી,આખૂદંજી
ધરોખડી,ધ-રોખ-ડી
દશઊઠણ,દ-શઊઠણ
અઘોરી,અઘોરી
તત્પરતા,તત્-પર-તા
રજી,ર-જી
અન્યોક્તિ,અન્યોક્તિ
લૂલડી,લૂ-લ-ડી
બોરદુ,બોર-દુ
ચિંતનશીલ,ચિં-તનશીલ
ડાંગ,ડાં-ગ
સ્વાર્થપ્રિય,સ્વાર્-થપ્રિ-ય
તિલોત્તમા,તિ-લોત્-ત-મા
જુગલજોડી,જુ-ગલજો-ડી
બઢાવવું,બ-ઢાવ-વું
મટોડી,મ-ટોડી
બાધિતાનિવૃત્તિ,બાધિતાનિ-વૃત્-તિ
અઠોતેર,અઠો-તેર
બહુપગી,બ-હુપ-ગી
અંતરું,અં-ત-રું
દેવમંદિર,દેવમં-દિર
અભિધ્યાન,અ-ભિધ્યાન
ઘોડિયાઘર,ઘોડિ-યા-ઘર
લોથપોથ,લોથપોથ
મહેતરણ,મ-હેતરણ
ઉજેસકાર,ઉજેસ-કાર
ચમત્કૃત,ચ-મત્કૃત
ભાવિત,ભા-વિત
જ્યુડિશિયલ,જ્યુડિશિયલ
વેલુ,વેલુ
પેડું,પેડું
દપટવું,દ-પટ-વું
અથવાર,અથ-વાર
પોલીસ,પોલીસ
ત્રિપુર,ત્રિપુર
દહાડી,દ-હા-ડી
મધુક,મ-ધુક
ડુબ્નિયમ,ડુબ્-નિ-યમ
અરિહા,અરિહા
અંજની,અં-જ-ની
ગળૂબંધ,ગળૂબંધ
અનાસક્ત,અ-નાસક્ત
આજી,આ-જી
શૂરણ,શૂરણ
તેલયંત્ર,તેલયં-ત્-ર
તદીય,તદીય
ઉદ્વેલ,ઉદ્વેલ
આની,આની
ફિગર,ફિગર
અણગણ્યું,અણ-ગ-ણ્યું
તેલદાણા,તેલ-દાણા
બ્રહ્મરાક્ષસ,બ્રહ્-મ-રા-ક્-ષસ
માંડી,માંડી
આલોલ,આલોલ
સ્પર્શતા,સ્પર્-શ-તા
મસ્તિષ્કવિદ્યા,મસ્તિષ્કવિદ્યા
વિપ્લવવાદી,વિપ્-લવવા-દી
ફોડચી,ફોડચી
શણગારાવું,શણ-ગારા-વું
અવિચ્છિનતા,અ-વિચ્છિન-તા
અઢેલાવવું,અઢે-લાવ-વું
સર્વશ્રી,સર્-વશ્રી
અગ્નિબાણ,અગ્-નિબાણ
ઉદ્ઘાટનસમારંભ,ઉદ્ઘાટનસમારંભ
પોલકારું,પોલ-કા-રું
અસુરેશ્વર,અ-સુ-રેશ્-વર
અધન્યતા,અધ-ન્-ય-તા
સૈડાવવું,સૈ-ડાવ-વું
રંજ,રં-જ
આમય,આમય
આવળ,આ-વળ
અકલકલ,અકલકલ
આંખમીંચકારો,આંખમીંચ-કા-રો
સીંચાવવું,સીં-ચાવ-વું
લીલ,લીલ
સીમાડિયું,સી-મા-ડિ-યું
માપલું,મા-પ-લું
જન્મદિવસ,જન્-મ-દિ-વસ
મૃણ્મય,મૃણ્મય
ધોકારાબંધ,ધો-કારાબંધ
અનેનાસ,અ-નેનાસ
અભિષેચનીય,અ-ભિ-ષેચની-ય
આત્મકથા,આત્-મક-થા
વૈરભાવ,વૈર-ભાવ
કીર્ત્તિધ્વજ,કીર્-ત્-તિ-ધ્વ-જ
સોહાસણી,સો-હાસણી
તોમર,તોમર
કંબોઈ,કંબોઈ
મોંબળ્યું,મોંબળ્યું
જિતાડવું,જિ-તાડ-વું
ધર્મદીક્ષા,ધર્-મદી-ક્-ષા
સંસ્કૃતોદ્ભવ,સંસ્કૃતોદ્ભવ
કાલબૂત,કાલબૂત
પંદરાં,પં-દરાં
ઝોંસાવવું,ઝોં-સાવ-વું
સબ્સિડિયરી,સબ્સિડિયરી
પ્રચાલક,પ્ર-ચાલક
નયનાભિરામ,નયના-ભિરામ
વલ્લરી,વલ્-લરી
ગુલ્લું,ગુ-લ્-લું
સૂરિ,સૂરિ
ઠગબાજી,ઠગબા-જી
આલોક,આલોક
ફંફોસાવવું,ફં-ફોસાવ-વું
ધાતુકસ,ધા-તુકસ
કલાંઠી,ક-લાં-ઠી
કળાવિધાન,ક-ળાવિ-ધાન
પદોડાવવું,પદો-ડાવ-વું
મૃન્મય,મૃ-ન્-મય
સહાયક,સ-હાયક
ધોળિયો,ધો-ળિ-યો
રજિસ્ટ્રાર,ર-જિસ્ટ્રાર
કસટિયો,ક-સટિ-યો
ત્રૈકાલિક,ત્રૈકા-લિક
ઉંદરકણિયું,ઉં-દરકણિ-યું
ઉત્સાર,ઉત્-સાર
દક્ષિણાર્ધ,દક્ષિણાર્ધ
હવેરું,હ-વેરું
પ્રેય,પ્રેય
ધુતકાર,ધુત-કાર
વખિયું,વખિયું
સત્યપરાયણ,સત્-ય-પ-રા-યણ
હેરતમંદ,હેરત-મંદ
હસનીય,હસની-ય
પચરકી,પચર-કી
અપતીજ,અપ-તીજ
ઉત્તરાગ્ર,ઉત્-ત-રા-ગ્ર
અદ્વૈતબુદ્ધિ,અદ્વૈતબુદ્ધિ
આશ્ચર્યકારક,આશ્-ચર્-ય-કારક
વર્ણિત,વર્-ણિત
નરત્વ,નરત્-વ
વેઠ,વેઠ
આફતાબગીરી,આફતા-બ-ગી-રી
ઝડાફો,ઝડાફો
કરડાવવું,કર-ડાવ-વું
જોષિતા,જોષિતા
અગ્રસર,અગ્રસર
ઇષિકા,ઇ-ષિ-કા
ગેરઆવડત,ગેરઆ-વડ-ત
ઘનાતિપરવલય,ઘના-તિ-પર-વ-લય
નસિકાવવું,ન-સિકાવ-વું
સાતિશયત્વ,સા-તિ-શયત્-વ
ઘામ,ઘામ
આકાશમાંસી,આ-કાશમાંસી
ધર્મચક્રપ્રવર્તન,ધર્-મ-ચક્-રપ્ર-વર્-તન
કરન્ટ,કરન્ટ
હોંચીહોંચી,હોં-ચીહોં-ચી
ઢગલાબંધ,ઢગલા-બંધ
વટાળો,વ-ટા-ળો
સોં,સોં
ચારેપાસ,ચારેપાસ
સ્ટ્રક્ચરાલિઝમ,સ્ટ્રક્ચ-રાલિઝમ
ફિલ્મી,ફિલ્મી
નવ્વો,નવ્વો
નાઉમેદી,નાઉ-મેદી
છપરપલંગ,છ-પર-પ-લંગ
સંખ્ય,સં-ખ્ય
ચીયો,ચીયો
લાટિયું,લા-ટિ-યું
જડબુદ્ધિ,જડબુદ્ધિ
કાઠ,કાઠ
ઉત્કંઠભાવ,ઉત્કંઠભાવ
સતસાઈ,સ-તસાઈ
વૃત્રાસુર,વૃત્રાસુર
ત્રિભોયું,ત્રિભોયું
આર્યા,આ-ર્-યા
જિંગા,જિંગા
બૉલ્શેવિક,બૉલ્શેવિક
સામાસામી,સા-માસામી
વિચારપદ્ધતિ,વિ-ચાર-પ-દ્ધ-તિ
યાત્રાળુ,યાત્રાળુ
લચ્છો,લચ્છો
અંબુજ,અંબુજ
શિલાશય્યા,શિ-લાશય્યા
અવેડ,અવેડ
ખ્વાહેશ,ખ્-વાહે-શ
પ્રલંબાવું,પ્ર-લંબા-વું
ધમારાવવું,ધ-મા-રાવ-વું
ગચ્છી,ગચ્છી
મનુહાર,મ-નુહાર
ત,ત
ગોરસી,ગોર-સી
ઘોલું,ઘોલું
સ્વસંવેદ્ય,સ્વસંવેદ્ય
ઢૂંઢ,ઢૂંઢ
મારફતિયો,માર-ફતિ-યો
નીંભરવું,નીં-ભર-વું
પ્રશમ,પ્રશમ
સહેલાઈ,સ-હેલાઈ
અવારી,અ-વા-રી
સંદેશો,સં-દેશો
ખાજવણી,ખાજવ-ણી
સંવૃત્તિ,સં-વૃત્-તિ
પુષ્પક,પુષ્-પક
અસ્ત્રાઘાત,અ-સ્-ત્રા-ઘાત
અધરકવું,અધરક-વું
ફળસાકર,ફળસા-કર
ચમકવું,ચ-મક-વું
કળાભિજ્ઞ,ક-ળાભિજ્-ઞ
યથાસમય,ય-થા-સ-મય
આગિયોછપ્પર,આ-ગિ-યોછપ્-પર
બાળસંગાથી,બાળસં-ગાથી
પિંગલકાર,પિંગલ-કાર
અનિશ્ચિતતા,અ-નિશ્-ચિતતા
નાનારૂપ,નાનારૂપ
ઉપવસ્તુ,ઉપ-વસ્-તુ
ખાંડણી,ખાંડ-ણી
ઇન્ટરેસ્ટ,ઇન્ટરેસ્ટ
કોરિયા,કો-રિ-યા
ચો,ચો
વિદ્યાર્થી,વિદ્યાર્થી
વેષપલટો,વે-ષપ-લ-ટો
જનનનિરોધ,જનનનિરોધ
ચિરોડી,ચિરોડી
હંકાવવું,હં-કાવ-વું
ક્ષેપક,ક્ષેપક
વીજરખું,વીજર-ખું
કરપલ્લવી,કર-પલ્-લ-વી
વળાવું,વ-ળા-વું
તડેમંકોડે,તડેમં-કોડે
અંતરદાઝ,અં-તર-દાઝ
કીકી,કીકી
ચુડિયાળા,ચુડિ-યાળા
મંચ,મંચ
બેપરવા,બે-પર-વા
તંત,તંત
કરડ,કરડ
તલમીજ,તલમીજ
ધમ્મામુક્કી,ધમ્મામુક્કી
ધર્માલય,ધર્-માલય
વાહનભથ્થું,વાહનભથ્થું
જલેબ,જ-લેબ
અજસ્ત્ર,અજ-સ્-ત્-ર
ગરુડાસન,ગ-રુડાસન
ઇન્ડિયન,ઇન્ડિયન
કાછિયણ,કાછિયણ
અપત્યકામા,અપત્-ય-કા-મા
દૂભવું,દૂ-ભ-વું
જન્મસ્વભાવ,જન્-મસ્વ-ભાવ
ઈંટાળી,ઈંટાળી
હીલો,હીલો
કાટલ,કાટલ
બીજરૂપ,બીજ-રૂપ
તડતડિયું,તડ-તડિ-યું
ધરાતળ,ધ-રાતળ
કોટીકોણ,કોટીકોણ
કૂડકપટ,કૂડકપટ
સૅન્ક્ચ્યૂઅરી,સૅન્ક્ચ્યૂઅ-રી
અભરામી,અ-ભ-રા-મી
બોદારકાંકરો,બોદારકાંક-રો
કણીપાત,કણીપાત
ફરફરાવવું,ફર-ફ-રા-વ-વું
અભિક્રંદન,અ-ભિક્રંદન
મૂઢગર્ભ,મૂઢગર્-ભ
હાડિયો,હા-ડિ-યો
પિરિ,પિરિ
ડૂબકું,ડૂબ-કું
વિહંગર્દષ્ટિ,વિ-હં-ગર્-દષ્-ટિ
સાબુદાણા,સા-બુદાણા
ભૂગોળશાસ્ત્રી,ભૂ-ગોળ-શાસ્-ત્રી
ઓખામંડળ,ઓખામંડળ
અઢાડવવું,અ-ઢાડવ-વું
ભૂડકાવું,ભૂડ-કા-વું
વાગ્દાન,વાગ્દાન
આશ્રમશાળા,આશ્રમ-શા-ળા
છાદન,છાદન
કંદર,કં-દર
માતગી,માતગી
ભામળું,ભામળું
અસ્મર્ય,અ-સ્મર્-ય
ફૂલદારૂ,ફૂલ-દા-રૂ
જરજરિયું,જરજરિ-યું
હલાહલ,હ-લાહલ
સૂધું,સૂધું
ઝૂંટાવવું,ઝૂં-ટાવ-વું
ખદ્યોત,ખદ્યોત
ભંભેરણી,ભં-ભેર-ણી
ટાઈપ,ટાઈપ
કાયો,કાયો
કડકડાવવું,કડક-ડાવ-વું
અંત્યાશ્રમી,અંત્યાશ્ર-મી
વળતભાવ,વળ-ત-ભાવ
ગુંડાશાહી,ગુંડા-શા-હી
બગલમો,બ-ગલ-મો
અલ્પોદર,અલ્પોદર
માથાવાઢ,મા-થાવાઢ
આસનિયું,આસનિયું
અકંપ્ય,અકંપ્ય
સાવધાનતા,સાવ-ધાન-તા
સિદ્ધાંતસૂત્ર,સિદ્-ધાં-તસૂત્-ર
તિલોદક,તિલોદક
અઢાડવું,અ-ઢાડ-વું
ખુનકી,ખુનકી
કાર્યપ્રયોજન,કાર્-ય-પ્ર-યો-જન
આતપજ્વર,આતપજ્વર
વિબુદ્ધ,વિબુદ્ધ
ફૈઝ,ફૈઝ
વાયુવેગ,વા-યુવેગ
ધનાઢય,ધ-નાઢય
સમા,સ-મા
ઘેરો,ઘેરો
પ્રિન્ટિંગમશીન,પ્રિન્ટિંગમશીન
આઢવું,આ-ઢ-વું
બરુ,બરુ
ચીંબોળાવું,ચીં-બોળા-વું
ગતાગતભેદ,ગ-તા-ગત-ભેદ
કર્મચંડાળ,કર્-મચંડાળ
લોકનિર્માણ,લોક-નિર્-માણ
બ્રહ્માનંદ,બ્-ર-હ્મા-નંદ
અદના,અ-દ-ના
સમચ્છેદ,સ-મચ્-છેદ
માંડવિયણ,માંડવિયણ
આબેહ્યાત,આ-બેહ્-યાત
અરસિકતા,અર-સિક-તા
એતદાલ,એત-દા-લ
અપસૂચન,અપસૂ-ચન
અનુમાપન,અ-નુ-માપન
દશોદિશ,દશોદિશ
ઉપકોણ,ઉપ-કોણ
પ્રવર્ષણ,પ્ર-વર્-ષણ
પ્રસૂતિશાસ્ત્ર,પ્ર-સૂ-તિ-શાસ્-ત્-ર
સોહ્યલું,સોહ્-યલું
છાંડી,છાંડી
ઉપાંત્ય,ઉ-પાંત્-ય
નેવર,નેવર
સખાત,સખાત
તરકટખોર,તરકટખોર
ડમણું,ડમ-ણું
ઘૂંઘટ,ઘૂંઘટ
હાજરબાશી,હાજર-બાશી
પાર્વતી,પાર્-વ-તી
પુણ્યાહવાચન,પુણ્યાહ-વા-ચન
વિરહિણી,વિ-રહિણી
બજરંગદંડ,બજરંગદંડ
અધૂરુંપધૂરું,અધૂરુંપધૂરું
અકરણીપદી,અકર-ણીપદી
ઘરોડ,ઘ-રોડ
ખેરવું,ખેર-વું
શંકિત,શંકિત
રાવણચિતા,રાવણચિતા
મચેડવું,મ-ચેડ-વું
યશોધન,ય-શો-ધન
પડાળ,પ-ડાળ
હાવસોઈઝાવસોઈ,હાવ-સો-ઈઝાવ-સો-ઈ
વર્ણમાલા,વર્-ણ-માલા
સૈડકિયું,સૈ-ડકિ-યું
પ્રોજ્જ્વલ,પ્રોજ્જ્-વ-લ
અવાજિયું,અ-વાજિ-યું
કર્ત્તવ્યપાલન,કર્ત્-તવ્યપા-લન
વેદિયો,વેદિયો
શામળું,શા-મળું
મૌલ્ય,મૌ-લ્-ય
નાદિહંદ,નાદિહંદ
અગર્હણીય,અ-ગર્હણીય
બ્રોકર,બ્રોકર
નિર્મોહતા,નિર્-મોહ-તા
અવચ્છિન્નતા,અવચ્છિન્-ન-તા
બદમિજાજ,બદમિ-જાજ
પિટિશન,પિટિશન
પરૂણાચાર,પરૂણાચાર
ત્રિશૂળ,ત્રિશૂળ
રંગશાળા,રંગશા-ળા
કલમત્રાંસ,કલમત્રાંસ
તાતા,તાતા
ઓળાયો,ઓળાયો
ક્રૅડલ,ક્રૅડલ
સાફસૂફી,સાફ-સૂ-ફી
મચાવવું,મ-ચાવ-વું
ડબુકાવવું,ડબુ-કાવ-વું
અશ્રાવ્ય,અશ્રાવ્ય
જડપણું,જડપ-ણું
ચૂક,ચૂક
હલ્લાખોર,હલ્-લાખોર
પોટર,પોટર
ગ્રસાવવું,ગ્ર-સાવ-વું
વાડવ,વાડવ
ઉષ્ણોદક,ઉષ્ણોદક
રૂઢિતા,રૂઢિતા
અથડૂક,અથડૂક
ગડગૂંદી,ગડગૂંદી
ગાદીનશીન,ગા-દીનશીન
ચિમોટી,ચિમોટી
પવનવેગ,પ-વન-વેગ
ટિપ્પણી,ટિપ્-પણી
ધર્મજિજ્ઞાસા,ધર્-મજિ-જ્-ઞા-સા
ભપકાદાર,ભપ-કા-દાર
વેડફાવું,વેડફાવું
ડોવું,ડોવું
મોંજોરી,મોં-જો-રી
ઢંગધડો,ઢંગ-ધડો
સોદર,સોદર
વાત્સલ્યમયી,વાત્-સલ્-યમ-યી
પંજેટાવું,પં-જેટા-વું
જાહેરાતી,જા-હે-રાતી
નિર્ઝરવું,નિર્-ઝર-વું
ધાશકો,ધા-શ-કો
ઓપનિંગ,ઓપનિંગ
સુખતળી,સુ-ખત-ળી
દહનીય,દ-હની-ય
સૈકું,સૈકું
મીનકેતન,મીનકેતન
ઉપયોગિતાવાદ,ઉપ-યો-ગિતા-વાદ
દેશદ્રોહી,દેશદ્રોહી
યોધ,યોધ
અમૃતત્વ,અ-મૃતત્-વ
બાફોઈ,બાફોઈ
ચીબું,ચીબું
આત્મસૂચિત,આત્-મસૂ-ચિત
સુધાકર,સુ-ધાકર
લવરીખોર,લવ-રીખોર
મીં,મીં
અનુકૃતિ,અ-નુકૃ-તિ
કવચી,કવચી
દ્રાવણ,દ્રાવણ
માવલો,માવ-લો
અમરસ્ત્રી,અ-મરસ્-ત્રી
રગડ,ર-ગડ
છેલવેલ્લું,છેલ-વેલ્-લું
કાર્યપ્રવણ,કાર્-યપ્ર-વણ
વાંસી,વાંસી
કૂઈ,કૂઈ
જીતેન્દ્રિય,જીતેન્-દ્રિ-ય
ખરાઈ,ખ-રા-ઈ
આશાવાન,આ-શાવાન
યદ્યપિ,યદ્યપિ
અક્ષણવેધી,અક્-ષણવે-ધી
પ્રતિજ્ઞાપત્ર,પ્ર-તિજ્-ઞા-પત્-ર
અવર્ષણ,અવર્ષણ
અનિદ્રા,અ-નિદ્રા
અંડવાહક,અંડવાહક
તનમનધન,તનમન-ધન
અડથલો,અડ-થ-લો
અગ્નિષ્ટોમ,અગ્-નિષ્ટોમ
ઠસકવું,ઠસક-વું
ગુરુભક્તિ,ગુ-રુભક્તિ
છત્તુંપાટ,છત્તુંપાટ
ઊંઘાળ,ઊંઘાળ
શ્વસનતંત્ર,શ્-વસનતં-ત્-ર
ચાળાચસકા,ચાળા-ચસ-કા
અક્કલમંદી,અક્કલમંદી
મનમાન્યું,મન-માન્-યું
જીવનચરિત,જીવન-ચ-રિત
અટ્ઠયાસિયો,અટ્ઠયાસિ-યો
કુંભકર્ણ,કું-ભકર્-ણ
તનત્રાણ,તનત્રાણ
ભૂરકવું,ભૂરક-વું
ઝારો,ઝારો
દપટાવવું,દપ-ટાવ-વું
આત્મત્વ,આત્-મત્-વ
સંનિવૃત્ત,સં-નિ-વૃત્-ત
ઓખરો,ઓખરો
નારીકેલ,ના-રી-કેલ
લેખાવવું,લે-ખાવ-વું
ઈંતડી,ઈંતડી
નગદનારાયણ,ન-ગદ-ના-રા-યણ
ચીકણુંલાટ,ચીક-ણુંલાટ
ઓસિંજાળું,ઓસિંજાળું
અકર્કશ,અકર્-ક-શ
ચશ્મું,ચશ્મું
પામા,પામા
પેડલ,પેડલ
તૈલ,તૈલ
રાજાસત્તાક,રા-જા-સત્-તાક
આલેડી,આલેડી
અકાલવૃષ્ટિ,અકાલવૃ-ષ્-ટિ
ત્રીજું,ત્રીજું
સાખી,સાખી
વિટ્પ્રકોપ,વિ-ટ્-પ્ર-કોપ
છુપાવવું,છુ-પાવ-વું
અધવાયો,અધ-વા-યો
ઠેકાવું,ઠે-કા-વું
અસ્માર્ય,અ-સ્-માર્-ય
ભરપટ્ટે,ભર-પટ્-ટે
અહિનાથ,અ-હિ-નાથ
અનામિષ,અ-નામિષ
દોરોધાગો,દો-રો-ધાગો
અનાહાર,અ-નાહાર
તવરાવવું,તવ-રાવ-વું
પ્રગલ્ભા,પ્ર-ગલ્-ભા
મલંગ,મલંગ
શિખડાવવું,શિખ-ડાવ-વું
ભેરુબંધ,ભેરુબંધ
ગુર્જરી,ગુ-ર્-જ-રી
ગરજીલું,ગર-જીલું
ખ્વાજા,ખ્-વા-જા
આચારવિજ્ઞા,આ-ચાર-વિજ્-ઞા
કચ્ચું,ક-ચ્-ચું
અમૂલમો,અ-મૂ-લ-મો
અનભિષંગ,અ-નભિષંગ
ત્રુટ,ત્-રુટ
ધર્માળુ,ધર્-માળુ
સાંતવું,સાં-ત-વું
વાગીશા,વાગીશા
વળકો,વળ-કો
માલડક્કો,માલડક્કો
વ્યવહારી,વ્યવ-હા-રી
અંગીકાર્ય,અંગી-કાર્-ય
મુક્તિપદ,મુક્તિપદ
નારો,નારો
સુકૃત્ય,સુ-કૃત્-ય
આકુલત્વ,આ-કુલત્-વ
આદ્યશક્તિ,આદ્યશક્તિ
અર્ધવાણિજ્યિક,અર્ધવાણિજ્યિક
તીર્થંકર,તીર્થંકર
અનન્યસાધારણ,અ-નન્-ય-સા-ધારણ
ગોરીલો,ગો-રીલો
અવક્રતા,અવ-ક્ર-તા
ધીમાન,ધીમાન
સૂંડો,સૂંડો
વભો,વભો
આગગાડી,આગગા-ડી
અભિવાદક,અ-ભિવાદક
ચૂં,ચૂં
મૂર્છક,મૂર્છક
કારણઅવતાર,કારણ-અવ-તાર
કલમ,કલમ
અંટશિયું,અં-ટશિ-યું
રાનટી,રાન-ટી
સારધી,સારધી
આત્મવંચક,આત્-મવંચક
કારચબી,કારચબી
ભાયાતી,ભા-યા-તી
આશાજોગી,આ-શાજો-ગી
અંતર્વાસ,અં-તર્-વાસ
વ્યાપૃત,વ્યાપૃત
અક્લિષ્ટકર્મા,અક્-લિષ્-ટકર્-મા
સમકક્ષી,સ-મકક્-ષી
વાસ્તુશાસ્ત્ર,વાસ્-તુ-શાસ્-ત્-ર
ધબ્બલ,ધબ્બલ
એનઘેન,એનઘેન
સબીલ,સબીલ
કૂદકું,કૂદકું
વહોરતિયો,વ-હોર-તિ-યો
અસલેખા,અ-સલેખા
ધૂજ,ધૂજ
મેધાવી,મેધાવી
લઘુશોધપ્રબંધ,લ-ઘુશો-ધ-પ્રબંધ
સદર્થે,સદર્થે
ક્રાંત,ક્રાંત
અઘ,અ-ઘ
કાંડરુહા,કાંડરુહા
કમળકોષ,કમળ-કોષ
